"DTI_CL_INDICADOR","Indicador","DTI_CL_TRIMESTRE_MOVIL","Trimestre Móvil","DTI_CL_REGION","Región","DTI_CL_TRAMO_ETARIO","Tramo etario","Value","Flag Codes","Flags"
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V01","2011 dic-feb","_T","Total país","Y_GE65","65 años y más",21.3551656796616,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V02","2011 ene-mar","_T","Total país","_T","Total",55.3032744828545,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V02","2011 ene-mar","_T","Total país","Y15T24","15-24 años",33.1427021696834,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V02","2011 ene-mar","_T","Total país","Y25T34","25-34 años",72.0801035690008,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V02","2011 ene-mar","_T","Total país","Y35T44","35-44 años",75.4654406682602,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V02","2011 ene-mar","_T","Total país","Y45T54","45-54 años",73.027544459639,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V02","2011 ene-mar","_T","Total país","Y55T64","55-64 años",59.1684885584943,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V02","2011 ene-mar","_T","Total país","Y_GE65","65 años y más",21.5382994384949,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V03","2011 feb-abr","_T","Total país","_T","Total",55.4566114255806,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V03","2011 feb-abr","_T","Total país","Y15T24","15-24 años",31.655125491282,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V03","2011 feb-abr","_T","Total país","Y25T34","25-34 años",72.4598202601224,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V03","2011 feb-abr","_T","Total país","Y35T44","35-44 años",76.0733555694584,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V03","2011 feb-abr","_T","Total país","Y45T54","45-54 años",73.623540648995,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V03","2011 feb-abr","_T","Total país","Y55T64","55-64 años",59.8347584671736,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V03","2011 feb-abr","_T","Total país","Y_GE65","65 años y más",22.0357432254511,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V04","2011 mar-may","_T","Total país","_T","Total",55.3995203382423,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V04","2011 mar-may","_T","Total país","Y15T24","15-24 años",30.6492630039186,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V04","2011 mar-may","_T","Total país","Y25T34","25-34 años",72.7703086690426,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V04","2011 mar-may","_T","Total país","Y35T44","35-44 años",76.5896018434585,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V04","2011 mar-may","_T","Total país","Y45T54","45-54 años",73.500329551693,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V04","2011 mar-may","_T","Total país","Y55T64","55-64 años",59.6749835294293,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V04","2011 mar-may","_T","Total país","Y_GE65","65 años y más",22.2331706232058,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V05","2011 abr-jun","_T","Total país","_T","Total",55.6184713534131,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V05","2011 abr-jun","_T","Total país","Y15T24","15-24 años",30.7806994383578,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V05","2011 abr-jun","_T","Total país","Y25T34","25-34 años",72.6225338194996,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V05","2011 abr-jun","_T","Total país","Y35T44","35-44 años",76.8134039954432,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V05","2011 abr-jun","_T","Total país","Y45T54","45-54 años",73.4697333566843,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V05","2011 abr-jun","_T","Total país","Y55T64","55-64 años",60.1129920518257,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V05","2011 abr-jun","_T","Total país","Y_GE65","65 años y más",22.6579863422159,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V06","2011 may-jul","_T","Total país","_T","Total",55.2714353413514,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V06","2011 may-jul","_T","Total país","Y15T24","15-24 años",30.4279953734222,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V06","2011 may-jul","_T","Total país","Y25T34","25-34 años",72.7141320772364,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V06","2011 may-jul","_T","Total país","Y35T44","35-44 años",76.2830714936393,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V06","2011 may-jul","_T","Total país","Y45T54","45-54 años",72.7858165721514,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V06","2011 may-jul","_T","Total país","Y55T64","55-64 años",59.654411300993,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V06","2011 may-jul","_T","Total país","Y_GE65","65 años y más",22.5308557511692,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V07","2011 jun-ago","_T","Total país","_T","Total",55.3874269578792,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V07","2011 jun-ago","_T","Total país","Y15T24","15-24 años",30.9681863697604,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V07","2011 jun-ago","_T","Total país","Y25T34","25-34 años",72.8688920624365,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V07","2011 jun-ago","_T","Total país","Y35T44","35-44 años",75.8685601322746,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V07","2011 jun-ago","_T","Total país","Y45T54","45-54 años",73.3240332997671,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V07","2011 jun-ago","_T","Total país","Y55T64","55-64 años",59.4254083264721,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V07","2011 jun-ago","_T","Total país","Y_GE65","65 años y más",22.3767297117609,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V08","2011 jul-sep","_T","Total país","_T","Total",55.450799942957,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V08","2011 jul-sep","_T","Total país","Y15T24","15-24 años",31.5202826588894,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V08","2011 jul-sep","_T","Total país","Y25T34","25-34 años",72.3838605167724,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V08","2011 jul-sep","_T","Total país","Y35T44","35-44 años",75.4333096573047,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V08","2011 jul-sep","_T","Total país","Y45T54","45-54 años",73.9896981097984,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V08","2011 jul-sep","_T","Total país","Y55T64","55-64 años",59.2045132174836,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V08","2011 jul-sep","_T","Total país","Y_GE65","65 años y más",22.3528144063286,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V09","2011 ago-oct","_T","Total país","_T","Total",55.4321769929361,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V09","2011 ago-oct","_T","Total país","Y15T24","15-24 años",31.1662650927446,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V09","2011 ago-oct","_T","Total país","Y25T34","25-34 años",72.609433431402,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V09","2011 ago-oct","_T","Total país","Y35T44","35-44 años",75.2778077684997,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V09","2011 ago-oct","_T","Total país","Y45T54","45-54 años",74.2655329785359,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V09","2011 ago-oct","_T","Total país","Y55T64","55-64 años",59.7051438529922,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V09","2011 ago-oct","_T","Total país","Y_GE65","65 años y más",22.1681149219148,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V10","2011 sep-nov","_T","Total país","_T","Total",55.4325028768474,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V10","2011 sep-nov","_T","Total país","Y15T24","15-24 años",30.9753680409113,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V10","2011 sep-nov","_T","Total país","Y25T34","25-34 años",72.970570264549,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V10","2011 sep-nov","_T","Total país","Y35T44","35-44 años",75.6089662651207,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V10","2011 sep-nov","_T","Total país","Y45T54","45-54 años",74.525887095396,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V10","2011 sep-nov","_T","Total país","Y55T64","55-64 años",60.0352673304857,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V10","2011 sep-nov","_T","Total país","Y_GE65","65 años y más",21.7575621335195,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V11","2011 oct-dic","_T","Total país","_T","Total",55.7973499587494,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V11","2011 oct-dic","_T","Total país","Y15T24","15-24 años",31.3065348013302,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V11","2011 oct-dic","_T","Total país","Y25T34","25-34 años",73.9307297227224,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V11","2011 oct-dic","_T","Total país","Y35T44","35-44 años",76.2052496537636,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V11","2011 oct-dic","_T","Total país","Y45T54","45-54 años",75.0334359137923,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V11","2011 oct-dic","_T","Total país","Y55T64","55-64 años",60.4783368613473,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V11","2011 oct-dic","_T","Total país","Y_GE65","65 años y más",21.5116948662102,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V12","2011 nov-ene","_T","Total país","_T","Total",55.9109267931164,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V12","2011 nov-ene","_T","Total país","Y15T24","15-24 años",32.8294444934672,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V12","2011 nov-ene","_T","Total país","Y25T34","25-34 años",73.2097938019341,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V12","2011 nov-ene","_T","Total país","Y35T44","35-44 años",76.405493692329,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V12","2011 nov-ene","_T","Total país","Y45T54","45-54 años",74.6943219880697,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V12","2011 nov-ene","_T","Total país","Y55T64","55-64 años",60.6129231657379,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2011-V12","2011 nov-ene","_T","Total país","Y_GE65","65 años y más",21.4176534289412,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2012-V01","2012 dic-feb","_T","Total país","_T","Total",56.1933494841195,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2012-V01","2012 dic-feb","_T","Total país","Y15T24","15-24 años",33.4594217496969,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2012-V01","2012 dic-feb","_T","Total país","Y25T34","25-34 años",73.5147868765725,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2012-V01","2012 dic-feb","_T","Total país","Y35T44","35-44 años",76.7057540130828,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2012-V01","2012 dic-feb","_T","Total país","Y45T54","45-54 años",74.897594578084,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2012-V01","2012 dic-feb","_T","Total país","Y55T64","55-64 años",60.8351680413104,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2012-V01","2012 dic-feb","_T","Total país","Y_GE65","65 años y más",21.6738409247919,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2012-V02","2012 ene-mar","_T","Total país","_T","Total",55.9407208662651,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2012-V02","2012 ene-mar","_T","Total país","Y15T24","15-24 años",32.5924825068437,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2012-V02","2012 ene-mar","_T","Total país","Y25T34","25-34 años",72.7053404821489,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2012-V02","2012 ene-mar","_T","Total país","Y35T44","35-44 años",76.1682686118986,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2012-V02","2012 ene-mar","_T","Total país","Y45T54","45-54 años",74.6143862140202,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2012-V02","2012 ene-mar","_T","Total país","Y55T64","55-64 años",61.8093599807546,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2012-V02","2012 ene-mar","_T","Total país","Y_GE65","65 años y más",22.0208782638272,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2012-V03","2012 feb-abr","_T","Total país","_T","Total",55.9314735123871,,
"ENE_TO","Tasa de ocupación (proyecciones base 2002)","2012-V03","2012 feb-abr","_T","Total país","Y15T24","15-24 años",31.4723944950539,,
