"DTI_CL_INDICADOR","Indicador","DTI_CL_ANO","Año","DTI_CL_REGION","Región","DTI_CL_SEXO","Sexo","DTI_CL_TRAMO_ETARIO","Tramo etario","Value","Flag Codes","Flags"
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL15","Región de Arica y Parinacota","_T","Ambos sexos","Y15T24","15-24 años",178319.859375,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL15","Región de Arica y Parinacota","_T","Ambos sexos","Y25T34","25-34 años",336746.40625,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL15","Región de Arica y Parinacota","_T","Ambos sexos","Y35T44","35-44 años",313387.1875,"a","Esta estimación no tiene la precisión estadística recomendada (coeficiente de variación mayor a 15%)"
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL15","Región de Arica y Parinacota","_T","Ambos sexos","Y45T54","45-54 años",310557.09375,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL15","Región de Arica y Parinacota","_T","Ambos sexos","Y55T64","55-64 años",258637.921875,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL15","Región de Arica y Parinacota","_T","Ambos sexos","Y_GE65","65 años y más",266802.09375,"a","Esta estimación no tiene la precisión estadística recomendada (coeficiente de variación mayor a 15%)"
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL15","Región de Arica y Parinacota","M","Hombres","_T","Total",343966.5625,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL15","Región de Arica y Parinacota","M","Hombres","Y15T24","15-24 años",206284.40625,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL15","Región de Arica y Parinacota","M","Hombres","Y25T34","25-34 años",391709.84375,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL15","Región de Arica y Parinacota","M","Hombres","Y35T44","35-44 años",408202.125,"a","Esta estimación no tiene la precisión estadística recomendada (coeficiente de variación mayor a 15%)"
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL15","Región de Arica y Parinacota","M","Hombres","Y45T54","45-54 años",380789.6875,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL15","Región de Arica y Parinacota","M","Hombres","Y55T64","55-64 años",277812.75,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL15","Región de Arica y Parinacota","M","Hombres","Y_GE65","65 años y más",266109.84375,"a","Esta estimación no tiene la precisión estadística recomendada (coeficiente de variación mayor a 15%)"
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL15","Región de Arica y Parinacota","F","Mujeres","_T","Total",228287.609375,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL15","Región de Arica y Parinacota","F","Mujeres","Y15T24","15-24 años",,"g","Muestralmente no se registraron casos o existe un número insuficiente de observaciones, por lo tanto, no es posible realizar una estimación de ese cruce de información."
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL15","Región de Arica y Parinacota","F","Mujeres","Y25T34","25-34 años",269762.34375,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL15","Región de Arica y Parinacota","F","Mujeres","Y35T44","35-44 años",203373.84375,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL15","Región de Arica y Parinacota","F","Mujeres","Y45T54","45-54 años",233708.234375,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL15","Región de Arica y Parinacota","F","Mujeres","Y55T64","55-64 años",229425.96875,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL15","Región de Arica y Parinacota","F","Mujeres","Y_GE65","65 años y más",,"g","Muestralmente no se registraron casos o existe un número insuficiente de observaciones, por lo tanto, no es posible realizar una estimación de ese cruce de información."
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL01","Región de Tarapacá","_T","Ambos sexos","_T","Total",381466.15625,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL01","Región de Tarapacá","_T","Ambos sexos","Y15T24","15-24 años",185848.84375,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL01","Región de Tarapacá","_T","Ambos sexos","Y25T34","25-34 años",415760.84375,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL01","Región de Tarapacá","_T","Ambos sexos","Y35T44","35-44 años",404738.90625,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL01","Región de Tarapacá","_T","Ambos sexos","Y45T54","45-54 años",486680.375,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL01","Región de Tarapacá","_T","Ambos sexos","Y55T64","55-64 años",347887.15625,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL01","Región de Tarapacá","_T","Ambos sexos","Y_GE65","65 años y más",251636.40625,"a","Esta estimación no tiene la precisión estadística recomendada (coeficiente de variación mayor a 15%)"
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL01","Región de Tarapacá","M","Hombres","_T","Total",463510.5625,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL01","Región de Tarapacá","M","Hombres","Y15T24","15-24 años",220704.90625,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL01","Región de Tarapacá","M","Hombres","Y25T34","25-34 años",516753.84375,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL01","Región de Tarapacá","M","Hombres","Y35T44","35-44 años",509392.90625,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL01","Región de Tarapacá","M","Hombres","Y45T54","45-54 años",628702.125,"a","Esta estimación no tiene la precisión estadística recomendada (coeficiente de variación mayor a 15%)"
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL01","Región de Tarapacá","M","Hombres","Y55T64","55-64 años",363815.3125,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL01","Región de Tarapacá","M","Hombres","Y_GE65","65 años y más",,"g","Muestralmente no se registraron casos o existe un número insuficiente de observaciones, por lo tanto, no es posible realizar una estimación de ese cruce de información."
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL01","Región de Tarapacá","F","Mujeres","_T","Total",272100.96875,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL01","Región de Tarapacá","F","Mujeres","Y15T24","15-24 años",143045.703125,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL01","Región de Tarapacá","F","Mujeres","Y25T34","25-34 años",292480.28125,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL01","Región de Tarapacá","F","Mujeres","Y35T44","35-44 años",282126.875,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL01","Región de Tarapacá","F","Mujeres","Y45T54","45-54 años",282574.96875,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL01","Región de Tarapacá","F","Mujeres","Y55T64","55-64 años",325274.53125,"a","Esta estimación no tiene la precisión estadística recomendada (coeficiente de variación mayor a 15%)"
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL01","Región de Tarapacá","F","Mujeres","Y_GE65","65 años y más",,"g","Muestralmente no se registraron casos o existe un número insuficiente de observaciones, por lo tanto, no es posible realizar una estimación de ese cruce de información."
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL02","Región de Antofagasta","_T","Ambos sexos","_T","Total",475865.9375,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL02","Región de Antofagasta","_T","Ambos sexos","Y15T24","15-24 años",235716.484375,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL02","Región de Antofagasta","_T","Ambos sexos","Y25T34","25-34 años",463584.34375,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL02","Región de Antofagasta","_T","Ambos sexos","Y35T44","35-44 años",519809.53125,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL02","Región de Antofagasta","_T","Ambos sexos","Y45T54","45-54 años",585075.8125,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL02","Región de Antofagasta","_T","Ambos sexos","Y55T64","55-64 años",503448.625,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL02","Región de Antofagasta","_T","Ambos sexos","Y_GE65","65 años y más",,"g","Muestralmente no se registraron casos o existe un número insuficiente de observaciones, por lo tanto, no es posible realizar una estimación de ese cruce de información."
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL02","Región de Antofagasta","M","Hombres","_T","Total",584411.9375,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL02","Región de Antofagasta","M","Hombres","Y15T24","15-24 años",270603.46875,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL02","Región de Antofagasta","M","Hombres","Y25T34","25-34 años",528362.3125,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL02","Región de Antofagasta","M","Hombres","Y35T44","35-44 años",622942.125,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL02","Región de Antofagasta","M","Hombres","Y45T54","45-54 años",813803.1875,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL02","Región de Antofagasta","M","Hombres","Y55T64","55-64 años",610553.1875,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL02","Región de Antofagasta","M","Hombres","Y_GE65","65 años y más",,"g","Muestralmente no se registraron casos o existe un número insuficiente de observaciones, por lo tanto, no es posible realizar una estimación de ese cruce de información."
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL02","Región de Antofagasta","F","Mujeres","_T","Total",318019.46875,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL02","Región de Antofagasta","F","Mujeres","Y15T24","15-24 años",176960.578125,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL02","Región de Antofagasta","F","Mujeres","Y25T34","25-34 años",361459.4375,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL02","Región de Antofagasta","F","Mujeres","Y35T44","35-44 años",385169.15625,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL02","Región de Antofagasta","F","Mujeres","Y45T54","45-54 años",259961.53125,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL02","Región de Antofagasta","F","Mujeres","Y55T64","55-64 años",336849.53125,"a","Esta estimación no tiene la precisión estadística recomendada (coeficiente de variación mayor a 15%)"
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL02","Región de Antofagasta","F","Mujeres","Y_GE65","65 años y más",,"g","Muestralmente no se registraron casos o existe un número insuficiente de observaciones, por lo tanto, no es posible realizar una estimación de ese cruce de información."
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL03","Región de Atacama","_T","Ambos sexos","_T","Total",379971,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL03","Región de Atacama","_T","Ambos sexos","Y15T24","15-24 años",215379.921875,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL03","Región de Atacama","_T","Ambos sexos","Y25T34","25-34 años",365235.375,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL03","Región de Atacama","_T","Ambos sexos","Y35T44","35-44 años",377802.1875,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL03","Región de Atacama","_T","Ambos sexos","Y45T54","45-54 años",406862.5625,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL03","Región de Atacama","_T","Ambos sexos","Y55T64","55-64 años",477425.5,"a","Esta estimación no tiene la precisión estadística recomendada (coeficiente de variación mayor a 15%)"
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL03","Región de Atacama","_T","Ambos sexos","Y_GE65","65 años y más",370586.96875,"a","Esta estimación no tiene la precisión estadística recomendada (coeficiente de variación mayor a 15%)"
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL03","Región de Atacama","M","Hombres","_T","Total",447983.9375,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL03","Región de Atacama","M","Hombres","Y15T24","15-24 años",229172.375,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL03","Región de Atacama","M","Hombres","Y25T34","25-34 años",407116.0625,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL03","Región de Atacama","M","Hombres","Y35T44","35-44 años",464234.03125,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL03","Región de Atacama","M","Hombres","Y45T54","45-54 años",512220.3125,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL03","Región de Atacama","M","Hombres","Y55T64","55-64 años",577714.1875,"a","Esta estimación no tiene la precisión estadística recomendada (coeficiente de variación mayor a 15%)"
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL03","Región de Atacama","M","Hombres","Y_GE65","65 años y más",,"g","Muestralmente no se registraron casos o existe un número insuficiente de observaciones, por lo tanto, no es posible realizar una estimación de ese cruce de información."
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL03","Región de Atacama","F","Mujeres","_T","Total",269195.6875,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL03","Región de Atacama","F","Mujeres","Y15T24","15-24 años",,"g","Muestralmente no se registraron casos o existe un número insuficiente de observaciones, por lo tanto, no es posible realizar una estimación de ese cruce de información."
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL03","Región de Atacama","F","Mujeres","Y25T34","25-34 años",302777.125,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL03","Región de Atacama","F","Mujeres","Y35T44","35-44 años",262467.46875,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL03","Región de Atacama","F","Mujeres","Y45T54","45-54 años",257914.453125,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL03","Región de Atacama","F","Mujeres","Y55T64","55-64 años",,"g","Muestralmente no se registraron casos o existe un número insuficiente de observaciones, por lo tanto, no es posible realizar una estimación de ese cruce de información."
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL03","Región de Atacama","F","Mujeres","Y_GE65","65 años y más",,"g","Muestralmente no se registraron casos o existe un número insuficiente de observaciones, por lo tanto, no es posible realizar una estimación de ese cruce de información."
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL04","Región de Coquimbo","_T","Ambos sexos","_T","Total",338014,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL04","Región de Coquimbo","_T","Ambos sexos","Y15T24","15-24 años",194866.625,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL04","Región de Coquimbo","_T","Ambos sexos","Y25T34","25-34 años",335204.25,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL04","Región de Coquimbo","_T","Ambos sexos","Y35T44","35-44 años",388388.34375,"a","Esta estimación no tiene la precisión estadística recomendada (coeficiente de variación mayor a 15%)"
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL04","Región de Coquimbo","_T","Ambos sexos","Y45T54","45-54 años",356295.96875,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL04","Región de Coquimbo","_T","Ambos sexos","Y55T64","55-64 años",377064,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL04","Región de Coquimbo","_T","Ambos sexos","Y_GE65","65 años y más",231215.171875,"a","Esta estimación no tiene la precisión estadística recomendada (coeficiente de variación mayor a 15%)"
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL04","Región de Coquimbo","M","Hombres","_T","Total",382764.34375,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL04","Región de Coquimbo","M","Hombres","Y15T24","15-24 años",217925.953125,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL04","Región de Coquimbo","M","Hombres","Y25T34","25-34 años",405789.625,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL04","Región de Coquimbo","M","Hombres","Y35T44","35-44 años",502238.25,"a","Esta estimación no tiene la precisión estadística recomendada (coeficiente de variación mayor a 15%)"
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL04","Región de Coquimbo","M","Hombres","Y45T54","45-54 años",364261.4375,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL04","Región de Coquimbo","M","Hombres","Y55T64","55-64 años",387582.25,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL04","Región de Coquimbo","M","Hombres","Y_GE65","65 años y más",243679.140625,"a","Esta estimación no tiene la precisión estadística recomendada (coeficiente de variación mayor a 15%)"
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL04","Región de Coquimbo","F","Mujeres","_T","Total",271509.3125,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL04","Región de Coquimbo","F","Mujeres","Y15T24","15-24 años",159127.140625,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL04","Región de Coquimbo","F","Mujeres","Y25T34","25-34 años",250994.25,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL04","Región de Coquimbo","F","Mujeres","Y35T44","35-44 años",223930.71875,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL04","Región de Coquimbo","F","Mujeres","Y45T54","45-54 años",344923.59375,"a","Esta estimación no tiene la precisión estadística recomendada (coeficiente de variación mayor a 15%)"
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL04","Región de Coquimbo","F","Mujeres","Y55T64","55-64 años",360144.46875,"a","Esta estimación no tiene la precisión estadística recomendada (coeficiente de variación mayor a 15%)"
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL04","Región de Coquimbo","F","Mujeres","Y_GE65","65 años y más",195353.46875,"a","Esta estimación no tiene la precisión estadística recomendada (coeficiente de variación mayor a 15%)"
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL05","Región de Valparaíso","_T","Ambos sexos","_T","Total",311263.78125,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL05","Región de Valparaíso","_T","Ambos sexos","Y15T24","15-24 años",174196.34375,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL05","Región de Valparaíso","_T","Ambos sexos","Y25T34","25-34 años",300858.03125,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL05","Región de Valparaíso","_T","Ambos sexos","Y35T44","35-44 años",360452.03125,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL05","Región de Valparaíso","_T","Ambos sexos","Y45T54","45-54 años",324044.21875,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL05","Región de Valparaíso","_T","Ambos sexos","Y55T64","55-64 años",344312.90625,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL05","Región de Valparaíso","_T","Ambos sexos","Y_GE65","65 años y más",246795.140625,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL05","Región de Valparaíso","M","Hombres","_T","Total",372349.5,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL05","Región de Valparaíso","M","Hombres","Y15T24","15-24 años",188568.453125,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL05","Región de Valparaíso","M","Hombres","Y25T34","25-34 años",339298.5625,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL05","Región de Valparaíso","M","Hombres","Y35T44","35-44 años",437927.71875,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL05","Región de Valparaíso","M","Hombres","Y45T54","45-54 años",410915.9375,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL05","Región de Valparaíso","M","Hombres","Y55T64","55-64 años",418817.3125,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL05","Región de Valparaíso","M","Hombres","Y_GE65","65 años y más",287527.78125,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL05","Región de Valparaíso","F","Mujeres","_T","Total",231147.65625,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL05","Región de Valparaíso","F","Mujeres","Y15T24","15-24 años",153905.09375,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL05","Región de Valparaíso","F","Mujeres","Y25T34","25-34 años",256039.71875,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL05","Región de Valparaíso","F","Mujeres","Y35T44","35-44 años",272022.375,,
"ESI_YMEDIO_OCU","Ingreso medio nominal de la población ocupada (proyecciones base 2002)","2010","2010","CHL05","Región de Valparaíso","F","Mujeres","Y45T54","45-54 años",215232.609375,,
